ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,1.19209289550781E-03
1,0.22,3.33329988643527E-03,-1.37090682983398E-02
1,0.25,6.66659977287054E-03,-1.19209289550781E-02
1,0.26,9.99989965930581E-03,-1.49011611938477E-02
1,0.27,1.33331995457411E-02,-1.72853469848633E-02
1,0.28,1.99997993186116E-02,-1.49011611938477E-02
1,0.3,2.33330992050469E-02,-1.72853469848633E-02
1,0.31,2.66663990914822E-02,-0.019073486328125
1,0.32,2.99996989779174E-02,-2.08616256713867E-02
1,0.33,3.33329988643527E-02,-2.20537185668945E-02
1,0.34,0.036666298750788,-2.38418579101563E-02
1,0.35,3.99995986372232E-02,-2.08616256713867E-02
1,0.36,4.33328985236585E-02,-2.20537185668945E-02
1,0.37,4.66661984100938E-02,-2.08616256713867E-02
1,0.38,4.99994982965291E-02,-1.84774398803711E-02
1,0.39,5.33327981829643E-02,-2.08616256713867E-02
1,0.4,5.66660980693996E-02,-2.32458114624023E-02
1,0.41,5.99993979558349E-02,-2.32458114624023E-02
1,0.42,6.33326978422702E-02,-2.08616256713867E-02
1,0.43,6.66659977287054E-02,-1.66893005371094E-02
1,0.44,6.99992976151407E-02,-1.37090682983398E-02
1,0.45,7.33325975015759E-02,-8.34465026855469E-03
1,0.46,7.66658973880112E-02,-9.5367431640625E-03
1,0.47,7.99991972744465E-02,-5.96046447753906E-03
1,0.48,8.33324971608818E-02,0
1,0.49,0.086665797047317,0
1,0.5,8.99990969337523E-02,-1.19209289550781E-03
1,0.51,9.33323968201876E-02,-1.19209289550781E-03
1,0.52,9.66656967066228E-02,4.76837158203125E-03
1,0.53,9.99989965930581E-02,3.57627868652344E-03
1,0.54,0.103332296479493,8.94069671630859E-03
1,0.55,0.106665596365929,6.55651092529297E-03
1,0.56,0.113332196138799,5.96046447753906E-03
1,0.58,0.116665496025234,2.98023223876953E-03
1,0.59,0.11999879591167,6.55651092529297E-03
1,0.6,0.123332095798105,8.34465026855469E-03
1,0.61,0.129998695570976,1.01327896118164E-02
1,0.62,0.133331995457411,1.19209289550781E-02
1,0.64,0.136665295343846,1.19209289550781E-02
1,0.65,0.143331895116717,1.07288360595703E-02
