ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,5.96046447753906E-04
1,0.22,3.33329988643527E-03,5.36441802978516E-03
1,0.24,6.66659977287054E-03,7.15255737304688E-03
1,0.26,9.99989965930581E-03,1.43051147460938E-02
1,0.27,1.33331995457411E-02,1.60932540893555E-02
1,0.28,1.99997993186116E-02,1.49011611938477E-02
1,0.3,2.33330992050469E-02,1.37090682983398E-02
1,0.31,2.66663990914822E-02,1.31130218505859E-02
1,0.32,2.99996989779174E-02,1.13248825073242E-02
1,0.33,3.33329988643527E-02,7.74860382080078E-03
1,0.34,0.036666298750788,7.15255737304688E-03
1,0.35,3.99995986372232E-02,4.17232513427734E-03
1,0.36,4.33328985236585E-02,3.57627868652344E-03
1,0.37,4.66661984100938E-02,5.36441802978516E-03
1,0.38,4.99994982965291E-02,7.15255737304688E-03
1,0.39,5.33327981829643E-02,2.98023223876953E-03
1,0.4,5.66660980693996E-02,5.96046447753906E-03
1,0.41,5.99993979558349E-02,5.96046447753906E-03
1,0.42,6.33326978422702E-02,3.57627868652344E-03
1,0.43,6.66659977287054E-02,2.98023223876953E-03
1,0.44,6.99992976151407E-02,1.07288360595703E-02
1,0.45,7.33325975015759E-02,1.19209289550781E-02
1,0.46,7.99991972744465E-02,1.49011611938477E-02
1,0.48,8.33324971608818E-02,1.31130218505859E-02
1,0.49,0.086665797047317,1.54972076416016E-02
1,0.5,8.99990969337523E-02,1.43051147460938E-02
1,0.51,9.66656967066228E-02,0.012516975402832
1,0.52,9.99989965930581E-02,0.012516975402832
1,0.54,0.103332296479493,0.012516975402832
1,0.55,0.109998896252364,1.43051147460938E-02
1,0.56,0.113332196138799,1.37090682983398E-02
1,0.57,0.116665496025234,9.5367431640625E-03
1,0.58,0.11999879591167,1.31130218505859E-02
1,0.6,0.12666539568454,8.94069671630859E-03
1,0.61,0.129998695570976,8.94069671630859E-03
1,0.62,0.133331995457411,5.96046447753906E-03
1,0.64,0.139998595230281,5.96046447753906E-04
1,0.65,0.143331895116717,0
1,0.66,0.146665195003152,-1.19209289550781E-03
1,0.67,0.149998494889587,-2.38418579101563E-03
1,0.68,0.153331794776022,1.19209289550781E-03
1,0.69,0.156665094662458,3.57627868652344E-03
1,0.7,0.159998394548893,5.96046447753906E-04
1,0.71,0.163331694435328,5.96046447753906E-04
1,0.72,0.166664994321764,5.96046447753906E-04
1,0.73,0.169998294208199,2.98023223876953E-03
1,0.74,0.173331594094634,4.17232513427734E-03
1,0.75,0.176664893981069,3.57627868652344E-03
1,0.76,0.179998193867505,4.76837158203125E-03
1,0.77,0.18333149375394,1.78813934326172E-03
1,0.78,0.186664793640375,1.19209289550781E-03
1,0.79,0.18999809352681,3.57627868652344E-03
1,0.8,0.193331393413246,5.96046447753906E-04
1,0.81,0.196664693299681,-2.38418579101563E-03
1,0.82,0.199997993186116,-1.78813934326172E-03
1,0.83,0.203331293072552,-4.76837158203125E-03
1,0.84,0.206664592958987,-3.57627868652344E-03
1,0.85,0.209997892845422,-5.96046447753906E-04
1,0.86,0.213331192731857,-1.78813934326172E-03
1,0.87,0.216664492618293,-2.98023223876953E-03
1,0.88,0.219997792504728,-5.96046447753906E-04
1,0.89,0.223331092391163,5.96046447753906E-04
1,0.9,0.226664392277598,0
1,0.91,0.229997692164034,3.57627868652344E-03
1,0.92,0.233330992050469,2.98023223876953E-03
1,0.93,0.236664291936904,5.96046447753906E-03
1,0.94,0.239997591823339,4.76837158203125E-03
1,0.95,0.243330891709775,5.96046447753906E-04
1,0.96,0.24666419159621,0
1,0.97,0.249997491482645,2.98023223876953E-03
1,0.98,0.253330791369081,5.96046447753906E-04
1,0.99,0.256664091255516,7.15255737304688E-03
1,1,0.259997391141951,2.98023223876953E-03
1,1.01,0.263330691028386,0
1,1.02,0.266663990914822,-5.96046447753906E-04
1,1.03,0.269997290801257,2.38418579101563E-03
1,1.04,0.273330590687692,3.57627868652344E-03
1,1.05,0.276663890574127,2.98023223876953E-03
1,1.06,0.279997190460563,4.17232513427734E-03
1,1.07,0.283330490346998,4.76837158203125E-03
1,1.08,0.286663790233433,6.55651092529297E-03
1,1.09,0.289997090119869,9.5367431640625E-03
1,1.1,0.293330390006304,1.31130218505859E-02
1,1.11,0.296663689892739,1.54972076416016E-02
1,1.12,0.299996989779174,1.84774398803711E-02
1,1.13,0.30333028966561,1.66893005371094E-02
1,1.14,0.306663589552045,1.60932540893555E-02
1,1.15,0.30999688943848,2.26497650146484E-02
1,1.16,0.313330189324915,2.32458114624023E-02
1,1.17,0.316663489211351,2.08616256713867E-02
1,1.18,0.319996789097786,2.20537185668945E-02
1,1.19,0.323330088984221,2.02655792236328E-02
1,1.2,0.326663388870657,2.02655792236328E-02
1,1.21,0.329996688757092,1.78813934326172E-02
1,1.22,0.333329988643527,1.78813934326172E-02
1,1.23,0.336663288529962,1.60932540893555E-02
1,1.24,0.339996588416398,1.60932540893555E-02
1,1.25,0.343329888302833,1.72853469848633E-02
1,1.26,0.346663188189268,1.66893005371094E-02
1,1.27,0.349996488075703,1.31130218505859E-02
1,1.28,0.353329787962139,1.37090682983398E-02
1,1.29,0.356663087848574,1.37090682983398E-02
1,1.3,0.359996387735009,1.13248825073242E-02
1,1.31,0.363329687621445,6.55651092529297E-03
1,1.32,0.36666298750788,9.5367431640625E-03
1,1.33,0.369996287394315,1.13248825073242E-02
1,1.34,0.37332958728075,1.19209289550781E-02
1,1.35,0.376662887167186,1.13248825073242E-02
1,1.36,0.379996187053621,9.5367431640625E-03
1,1.37,0.383329486940056,8.34465026855469E-03
1,1.38,0.386662786826491,9.5367431640625E-03
1,1.39,0.389996086712927,1.07288360595703E-02
1,1.4,0.393329386599362,1.31130218505859E-02
1,1.41,0.396662686485797,0.012516975402832
1,1.42,0.399995986372232,1.13248825073242E-02
1,1.43,0.403329286258668,1.13248825073242E-02
1,1.44,0.406662586145103,1.07288360595703E-02
1,1.45,0.409995886031538,8.34465026855469E-03
1,1.46,0.413329185917974,7.74860382080078E-03
1,1.47,0.416662485804409,4.76837158203125E-03
1,1.48,0.419995785690844,2.38418579101563E-03
1,1.49,0.423329085577279,0
1,1.5,0.426662385463715,-1.78813934326172E-03
1,1.51,0.42999568535015,0
1,1.52,0.433328985236585,-2.98023223876953E-03
1,1.53,0.43666228512302,-5.36441802978516E-03
1,1.54,0.439995585009456,-5.96046447753906E-03
1,1.55,0.443328884895891,-5.96046447753906E-03
1,1.56,0.446662184782326,-7.15255737304688E-03
1,1.57,0.449995484668762,-7.15255737304688E-03
1,1.58,0.453328784555197,-5.96046447753906E-03
1,1.59,0.456662084441632,-1.19209289550781E-02
1,1.6,0.459995384328067,-9.5367431640625E-03
1,1.61,0.463328684214503,-1.13248825073242E-02
1,1.62,0.466661984100938,-1.49011611938477E-02
1,1.63,0.469995283987373,-1.07288360595703E-02
1,1.64,0.473328583873808,-0.012516975402832
1,1.65,0.476661883760244,-9.5367431640625E-03
1,1.66,0.479995183646679,-1.07288360595703E-02
1,1.67,0.483328483533114,-1.01327896118164E-02
1,1.68,0.48666178341955,-1.01327896118164E-02
1,1.69,0.489995083305985,-8.34465026855469E-03
1,1.7,0.49332838319242,-7.15255737304688E-03
1,1.71,0.496661683078855,-7.74860382080078E-03
1,1.72,0.499994982965291,-4.17232513427734E-03
1,1.73,0.503328282851726,-4.76837158203125E-03
1,1.74,0.506661582738161,-5.96046447753906E-04
1,1.75,0.509994882624596,-2.98023223876953E-03
1,1.76,0.513328182511032,0
1,1.77,0.516661482397467,-5.96046447753906E-03
1,1.78,0.519994782283902,-3.57627868652344E-03
1,1.79,0.523328082170337,-4.76837158203125E-03
1,1.8,0.526661382056773,-7.15255737304688E-03
1,1.81,0.529994681943208,-4.17232513427734E-03
1,1.82,0.533327981829643,-3.57627868652344E-03
1,1.83,0.536661281716079,-2.98023223876953E-03
1,1.84,0.539994581602514,-4.76837158203125E-03
1,1.85,0.543327881488949,-7.74860382080078E-03
1,1.86,0.546661181375384,-5.36441802978516E-03
1,1.87,0.54999448126182,-5.36441802978516E-03
1,1.88,0.553327781148255,-4.76837158203125E-03
1,1.89,0.55666108103469,-5.96046447753906E-04
1,1.9,0.559994380921125,1.19209289550781E-03
1,1.91,0.563327680807561,-5.96046447753906E-04
1,1.92,0.566660980693996,4.76837158203125E-03
1,1.93,0.569994280580431,9.5367431640625E-03
1,1.94,0.573327580466866,1.01327896118164E-02
1,1.95,0.576660880353302,1.01327896118164E-02
1,1.96,0.579994180239737,1.07288360595703E-02
1,1.97,0.583327480126172,0.012516975402832
1,1.98,0.586660780012608,1.54972076416016E-02
1,1.99,0.589994079899043,1.13248825073242E-02
1,2,0.593327379785478,9.5367431640625E-03
1,2.01,0.596660679671913,9.5367431640625E-03
1,2.02,0.599993979558349,7.74860382080078E-03
1,2.03,0.603327279444784,4.76837158203125E-03
1,2.04,0.606660579331219,4.17232513427734E-03
1,2.05,0.609993879217654,2.38418579101563E-03
1,2.06,0.61332717910409,4.76837158203125E-03
1,2.07,0.616660478990525,2.38418579101563E-03
1,2.08,0.61999377887696,-5.96046447753906E-04
1,2.09,0.623327078763396,-1.19209289550781E-03
1,2.1,0.626660378649831,1.19209289550781E-03
1,2.11,0.629993678536266,-2.38418579101563E-03
1,2.12,0.633326978422701,-5.96046447753906E-04
1,2.13,0.636660278309137,0
1,2.14,0.639993578195572,-2.98023223876953E-03
1,2.15,0.643326878082007,-4.17232513427734E-03
1,2.16,0.646660177968442,-5.96046447753906E-04
1,2.17,0.649993477854878,-2.98023223876953E-03
1,2.18,0.653326777741313,-3.57627868652344E-03
1,2.19,0.656660077627748,-1.78813934326172E-03
1,2.2,0.659993377514184,-1.19209289550781E-03
1,2.21,0.663326677400619,-5.96046447753906E-04
1,2.22,0.666659977287054,-1.19209289550781E-03
1,2.23,0.669993277173489,1.19209289550781E-03
1,2.24,0.673326577059925,3.57627868652344E-03
1,2.25,0.67665987694636,0
1,2.26,0.679993176832795,-2.98023223876953E-03
1,2.27,0.68332647671923,-1.19209289550781E-03
1,2.28,0.686659776605666,-4.17232513427734E-03
1,2.29,0.689993076492101,2.38418579101563E-03
1,2.3,0.693326376378536,5.36441802978516E-03
1,2.31,0.696659676264971,5.96046447753906E-03
1,2.32,0.699992976151407,2.98023223876953E-03
1,2.33,0.703326276037842,5.96046447753906E-03
1,2.34,0.706659575924277,4.76837158203125E-03
1,2.35,0.709992875810713,9.5367431640625E-03
1,2.36,0.713326175697148,7.15255737304688E-03
1,2.37,0.716659475583583,8.94069671630859E-03
1,2.38,0.719992775470018,5.96046447753906E-03
1,2.39,0.723326075356454,6.55651092529297E-03
