ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,2.86102294921875E-02
1,0.22,3.33329988643527E-03,4.11272048950195E-02
1,0.25,6.66659977287054E-03,0.03814697265625
1,0.26,9.99989965930581E-03,3.75509262084961E-02
1,0.27,1.33331995457411E-02,3.39746475219727E-02
1,0.28,1.66664994321764E-02,3.33786010742188E-02
1,0.29,1.99997993186116E-02,2.92062759399414E-02
1,0.3,2.33330992050469E-02,0.025629997253418
1,0.31,2.66663990914822E-02,2.80141830444336E-02
1,0.32,2.99996989779174E-02,2.68220901489258E-02
1,0.33,3.33329988643527E-02,2.44379043579102E-02
1,0.34,0.036666298750788,2.44379043579102E-02
1,0.35,3.99995986372232E-02,2.14576721191406E-02
1,0.36,4.33328985236585E-02,2.74181365966797E-02
1,0.37,4.66661984100938E-02,2.50339508056641E-02
1,0.38,4.99994982965291E-02,2.80141830444336E-02
1,0.39,5.33327981829643E-02,2.44379043579102E-02
1,0.4,5.66660980693996E-02,2.50339508056641E-02
1,0.41,5.99993979558349E-02,2.62260437011719E-02
1,0.42,6.33326978422702E-02,0.025629997253418
1,0.43,6.66659977287054E-02,2.68220901489258E-02
1,0.44,6.99992976151407E-02,2.62260437011719E-02
1,0.45,7.33325975015759E-02,2.80141830444336E-02
1,0.46,7.66658973880112E-02,2.74181365966797E-02
1,0.47,7.99991972744465E-02,2.38418579101563E-02
1,0.48,8.33324971608818E-02,2.80141830444336E-02
1,0.49,0.086665797047317,2.38418579101563E-02
1,0.5,8.99990969337523E-02,2.32458114624023E-02
1,0.51,9.33323968201876E-02,2.14576721191406E-02
1,0.52,9.66656967066228E-02,1.66893005371094E-02
1,0.53,9.99989965930581E-02,2.08616256713867E-02
1,0.54,0.103332296479493,2.02655792236328E-02
1,0.55,0.106665596365929,2.14576721191406E-02
1,0.56,0.109998896252364,2.26497650146484E-02
1,0.57,0.116665496025234,2.44379043579102E-02
1,0.59,0.11999879591167,2.62260437011719E-02
1,0.6,0.123332095798105,2.38418579101563E-02
1,0.61,0.12666539568454,2.62260437011719E-02
1,0.62,0.133331995457411,0.025629997253418
1,0.63,0.136665295343846,2.38418579101563E-02
1,0.65,0.139998595230281,2.20537185668945E-02
1,0.66,0.143331895116717,2.08616256713867E-02
1,0.67,0.149998494889587,2.20537185668945E-02
1,0.68,0.153331794776022,2.14576721191406E-02
1,0.69,0.156665094662458,1.84774398803711E-02
1,0.71,0.159998394548893,1.54972076416016E-02
1,0.72,0.166664994321764,0.012516975402832
1,0.73,0.169998294208199,1.19209289550781E-02
1,0.74,0.173331594094634,0.012516975402832
1,0.75,0.176664893981069,1.13248825073242E-02
1,0.77,0.179998193867505,1.31130218505859E-02
1,0.78,0.186664793640375,1.66893005371094E-02
1,0.79,0.18999809352681,1.72853469848633E-02
1,0.81,0.196664693299681,2.38418579101563E-02
1,0.82,0.199997993186116,1.72853469848633E-02
1,0.83,0.203331293072552,1.60932540893555E-02
1,0.84,0.206664592958987,2.44379043579102E-02
1,0.85,0.209997892845422,2.38418579101563E-02
1,0.86,0.213331192731857,2.62260437011719E-02
1,0.87,0.216664492618293,2.74181365966797E-02
1,0.88,0.219997792504728,2.50339508056641E-02
1,0.89,0.223331092391163,2.68220901489258E-02
1,0.9,0.226664392277598,2.62260437011719E-02
1,0.91,0.229997692164034,2.32458114624023E-02
1,0.92,0.233330992050469,2.44379043579102E-02
1,0.93,0.236664291936904,2.62260437011719E-02
1,0.94,0.239997591823339,2.86102294921875E-02
1,0.95,0.243330891709775,2.86102294921875E-02
1,0.96,0.24666419159621,2.98023223876953E-02
1,0.97,0.249997491482645,3.03983688354492E-02
1,0.98,0.253330791369081,3.03983688354492E-02
1,0.99,0.256664091255516,2.74181365966797E-02
1,1,0.259997391141951,2.74181365966797E-02
1,1.01,0.263330691028386,2.62260437011719E-02
1,1.02,0.266663990914822,2.50339508056641E-02
1,1.03,0.269997290801257,2.68220901489258E-02
1,1.04,0.273330590687692,2.86102294921875E-02
1,1.05,0.276663890574127,2.68220901489258E-02
1,1.06,0.279997190460563,2.62260437011719E-02
1,1.07,0.283330490346998,0.025629997253418
1,1.08,0.286663790233433,2.50339508056641E-02
1,1.09,0.289997090119869,2.68220901489258E-02
1,1.1,0.293330390006304,2.92062759399414E-02
1,1.11,0.296663689892739,2.74181365966797E-02
1,1.12,0.299996989779174,2.44379043579102E-02
1,1.13,0.30333028966561,2.44379043579102E-02
1,1.14,0.306663589552045,2.14576721191406E-02
1,1.15,0.30999688943848,2.26497650146484E-02
1,1.16,0.313330189324915,2.14576721191406E-02
1,1.17,0.316663489211351,1.78813934326172E-02
1,1.18,0.319996789097786,1.66893005371094E-02
1,1.19,0.323330088984221,1.49011611938477E-02
1,1.2,0.326663388870657,1.43051147460938E-02
1,1.21,0.329996688757092,1.19209289550781E-02
1,1.22,0.333329988643527,1.13248825073242E-02
1,1.23,0.336663288529962,1.07288360595703E-02
1,1.24,0.339996588416398,8.94069671630859E-03
1,1.25,0.343329888302833,9.5367431640625E-03
1,1.26,0.346663188189268,1.07288360595703E-02
1,1.27,0.349996488075703,0.012516975402832
1,1.28,0.353329787962139,1.54972076416016E-02
1,1.29,0.356663087848574,1.37090682983398E-02
1,1.3,0.359996387735009,0.012516975402832
1,1.31,0.363329687621445,1.60932540893555E-02
1,1.32,0.36666298750788,1.60932540893555E-02
1,1.33,0.369996287394315,1.78813934326172E-02
1,1.34,0.37332958728075,2.08616256713867E-02
1,1.35,0.376662887167186,2.68220901489258E-02
1,1.36,0.379996187053621,2.68220901489258E-02
1,1.37,0.383329486940056,2.44379043579102E-02
1,1.38,0.386662786826491,2.32458114624023E-02
1,1.39,0.389996086712927,0.025629997253418
1,1.4,0.393329386599362,0.025629997253418
1,1.41,0.396662686485797,2.26497650146484E-02
1,1.42,0.399995986372232,2.02655792236328E-02
1,1.43,0.403329286258668,1.96695327758789E-02
1,1.44,0.406662586145103,1.31130218505859E-02
1,1.45,0.409995886031538,1.54972076416016E-02
1,1.46,0.413329185917974,1.37090682983398E-02
1,1.47,0.416662485804409,0.012516975402832
1,1.48,0.419995785690844,1.37090682983398E-02
1,1.49,0.423329085577279,1.60932540893555E-02
1,1.5,0.426662385463715,1.72853469848633E-02
1,1.51,0.42999568535015,1.84774398803711E-02
1,1.52,0.433328985236585,0.019073486328125
1,1.53,0.43666228512302,1.66893005371094E-02
1,1.54,0.439995585009456,1.43051147460938E-02
1,1.55,0.443328884895891,2.08616256713867E-02
1,1.56,0.446662184782326,0.019073486328125
1,1.57,0.449995484668762,2.14576721191406E-02
1,1.58,0.453328784555197,2.26497650146484E-02
1,1.59,0.456662084441632,2.62260437011719E-02
1,1.6,0.459995384328067,2.50339508056641E-02
1,1.61,0.463328684214503,2.26497650146484E-02
1,1.62,0.466661984100938,2.14576721191406E-02
1,1.63,0.469995283987373,2.44379043579102E-02
1,1.64,0.473328583873808,2.38418579101563E-02
1,1.65,0.476661883760244,2.20537185668945E-02
1,1.66,0.479995183646679,1.72853469848633E-02
1,1.67,0.483328483533114,1.66893005371094E-02
1,1.68,0.48666178341955,1.60932540893555E-02
1,1.69,0.489995083305985,1.43051147460938E-02
1,1.7,0.49332838319242,1.31130218505859E-02
1,1.71,0.496661683078855,1.01327896118164E-02
1,1.72,0.499994982965291,7.15255737304688E-03
1,1.73,0.503328282851726,8.94069671630859E-03
1,1.74,0.506661582738161,7.15255737304688E-03
1,1.75,0.509994882624596,1.07288360595703E-02
1,1.76,0.513328182511032,1.19209289550781E-02
1,1.77,0.516661482397467,1.13248825073242E-02
1,1.78,0.519994782283902,7.74860382080078E-03
1,1.79,0.523328082170337,5.96046447753906E-03
1,1.8,0.526661382056773,1.78813934326172E-03
1,1.81,0.529994681943208,6.55651092529297E-03
1,1.82,0.533327981829643,5.96046447753906E-03
1,1.83,0.536661281716079,5.36441802978516E-03
1,1.84,0.539994581602514,0
1,1.85,0.543327881488949,0
1,1.86,0.546661181375384,-5.96046447753906E-04
1,1.87,0.54999448126182,-1.78813934326172E-03
1,1.88,0.553327781148255,-1.19209289550781E-03
1,1.89,0.55666108103469,-3.57627868652344E-03
1,1.9,0.559994380921125,-5.96046447753906E-03
1,1.91,0.563327680807561,-4.17232513427734E-03
1,1.92,0.566660980693996,-2.98023223876953E-03
1,1.93,0.569994280580431,0
1,1.94,0.573327580466866,2.38418579101563E-03
1,1.95,0.576660880353302,-1.19209289550781E-03
1,1.96,0.579994180239737,-5.36441802978516E-03
1,1.97,0.583327480126172,-3.57627868652344E-03
1,1.98,0.586660780012608,-1.78813934326172E-03
1,1.99,0.589994079899043,0
1,2,0.593327379785478,5.96046447753906E-04
1,2.01,0.596660679671913,4.17232513427734E-03
1,2.02,0.599993979558349,-2.98023223876953E-03
1,2.03,0.603327279444784,1.19209289550781E-03
1,2.04,0.606660579331219,4.17232513427734E-03
1,2.05,0.609993879217654,4.17232513427734E-03
1,2.06,0.61332717910409,4.76837158203125E-03
1,2.07,0.616660478990525,5.36441802978516E-03
1,2.08,0.61999377887696,6.55651092529297E-03
1,2.09,0.623327078763396,6.55651092529297E-03
1,2.1,0.626660378649831,1.01327896118164E-02
1,2.11,0.629993678536266,8.34465026855469E-03
1,2.12,0.633326978422701,1.01327896118164E-02
1,2.13,0.636660278309137,1.13248825073242E-02
1,2.14,0.639993578195572,7.74860382080078E-03
1,2.15,0.643326878082007,8.94069671630859E-03
1,2.16,0.646660177968442,1.43051147460938E-02
1,2.17,0.649993477854878,1.19209289550781E-02
1,2.18,0.653326777741313,1.37090682983398E-02
1,2.19,0.656660077627748,1.49011611938477E-02
1,2.2,0.659993377514184,1.07288360595703E-02
1,2.21,0.663326677400619,1.43051147460938E-02
1,2.22,0.666659977287054,1.49011611938477E-02
1,2.23,0.669993277173489,1.78813934326172E-02
1,2.24,0.673326577059925,1.49011611938477E-02
1,2.25,0.67665987694636,0.012516975402832
1,2.26,0.679993176832795,1.19209289550781E-02
1,2.27,0.68332647671923,1.19209289550781E-02
1,2.28,0.686659776605666,1.43051147460938E-02
1,2.29,0.689993076492101,0.012516975402832
1,2.3,0.693326376378536,1.07288360595703E-02
1,2.31,0.696659676264971,8.94069671630859E-03
1,2.32,0.699992976151407,7.74860382080078E-03
1,2.33,0.703326276037842,4.76837158203125E-03
1,2.34,0.706659575924277,5.36441802978516E-03
1,2.35,0.709992875810713,4.17232513427734E-03
1,2.36,0.713326175697148,2.98023223876953E-03
1,2.37,0.716659475583583,5.96046447753906E-03
1,2.38,0.719992775470018,5.36441802978516E-03
1,2.39,0.723326075356454,7.74860382080078E-03
1,2.4,0.726659375242889,1.13248825073242E-02
1,2.41,0.729992675129324,1.43051147460938E-02
1,2.42,0.733325975015759,0.019073486328125
1,2.43,0.736659274902195,2.08616256713867E-02
1,2.44,0.73999257478863,2.44379043579102E-02
1,2.45,0.743325874675065,2.20537185668945E-02
1,2.46,0.746659174561501,2.20537185668945E-02
1,2.47,0.749992474447936,2.26497650146484E-02
1,2.48,0.753325774334371,2.14576721191406E-02
1,2.49,0.756659074220806,2.38418579101563E-02
1,2.5,0.759992374107242,1.84774398803711E-02
1,2.51,0.763325673993677,1.54972076416016E-02
1,2.52,0.766658973880112,1.13248825073242E-02
1,2.53,0.769992273766547,1.54972076416016E-02
1,2.54,0.773325573652983,1.37090682983398E-02
1,2.55,0.776658873539418,0.012516975402832
1,2.56,0.779992173425853,8.34465026855469E-03
1,2.57,0.783325473312289,1.01327896118164E-02
1,2.58,0.786658773198724,1.07288360595703E-02
1,2.59,0.789992073085159,1.31130218505859E-02
1,2.6,0.793325372971594,1.01327896118164E-02
1,2.61,0.79665867285803,1.19209289550781E-02
1,2.62,0.799991972744465,1.37090682983398E-02
1,2.63,0.8033252726309,1.37090682983398E-02
1,2.64,0.806658572517335,0.012516975402832
1,2.65,0.809991872403771,0.012516975402832
1,2.66,0.813325172290206,1.37090682983398E-02
1,2.67,0.816658472176641,1.19209289550781E-02
1,2.68,0.819991772063077,8.94069671630859E-03
1,2.69,0.823325071949512,8.34465026855469E-03
1,2.7,0.826658371835947,1.07288360595703E-02
1,2.71,0.829991671722382,1.13248825073242E-02
1,2.72,0.833324971608818,1.43051147460938E-02
1,2.73,0.836658271495253,1.31130218505859E-02
1,2.74,0.839991571381688,1.31130218505859E-02
1,2.75,0.843324871268123,1.19209289550781E-02
1,2.76,0.846658171154559,1.49011611938477E-02
1,2.77,0.849991471040994,1.54972076416016E-02
1,2.78,0.853324770927429,1.60932540893555E-02
1,2.79,0.856658070813864,1.72853469848633E-02
1,2.8,0.8599913707003,1.54972076416016E-02
1,2.81,0.863324670586735,1.37090682983398E-02
1,2.82,0.86665797047317,1.60932540893555E-02
1,2.83,0.869991270359606,1.49011611938477E-02
1,2.84,0.873324570246041,1.43051147460938E-02
1,2.85,0.876657870132476,1.72853469848633E-02
1,2.86,0.879991170018911,0.019073486328125
1,2.87,0.883324469905347,2.02655792236328E-02
1,2.88,0.886657769791782,2.38418579101563E-02
1,2.89,0.889991069678217,2.44379043579102E-02
1,2.9,0.893324369564652,2.44379043579102E-02
1,2.91,0.896657669451088,2.80141830444336E-02
1,2.92,0.899990969337523,2.86102294921875E-02
1,2.93,0.903324269223958,2.86102294921875E-02
1,2.94,0.906657569110394,2.68220901489258E-02
1,2.95,0.909990868996829,2.92062759399414E-02
1,2.96,0.913324168883264,0.031590461730957
1,2.97,0.916657468769699,2.86102294921875E-02
1,2.98,0.919990768656135,0.025629997253418
1,2.99,0.92332406854257,2.68220901489258E-02
1,3,0.926657368429005,2.98023223876953E-02
1,3.01,0.92999066831544,2.86102294921875E-02
